_id,Condition,ICD10,ICD10QF,SMRType,FinancialYear,Gender,GenderQF,AgeGroup,AgeGroupQF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
1,All alcohol conditions, ,d z,SMR01,1997/98,Male, ,All,d,938.8,690.6, ,:,21462, ,15840, , ,:,1.4
2,All alcohol conditions, ,d z,SMR01,1997/98,Female, ,All,d,320,253, ,:,8232, ,6543, , ,:,1.3
3,All alcohol conditions, ,d z,SMR01,1998/99,Male, ,All,d,954.2,701.3, ,:,21930, ,16125, , ,:,1.4
4,All alcohol conditions, ,d z,SMR01,1998/99,Female, ,All,d,335.9,259.5, ,:,8637, ,6702, , ,:,1.3
5,All alcohol conditions, ,d z,SMR01,1999/00,Male, ,All,d,1025.6,736.9, ,:,23637, ,16977, , ,:,1.4
6,All alcohol conditions, ,d z,SMR01,1999/00,Female, ,All,d,346.5,271.3, ,:,8955, ,7044, , ,:,1.3
7,All alcohol conditions, ,d z,SMR01,2000/01,Male, ,All,d,1005.8,718.1, ,:,23337, ,16632, , ,:,1.4
8,All alcohol conditions, ,d z,SMR01,2000/01,Female, ,All,d,349.5,266, ,:,9051, ,6915, , ,:,1.3
9,All alcohol conditions, ,d z,SMR01,2001/02,Male, ,All,d,1050.2,744.5, ,:,24474, ,17328, , ,:,1.4
10,All alcohol conditions, ,d z,SMR01,2001/02,Female, ,All,d,377.6,286.9, ,:,9846, ,7497, , ,:,1.3
11,All alcohol conditions, ,d z,SMR01,2002/03,Male, ,All,d,1101.6,774.4, ,:,25854, ,18135, , ,:,1.4
12,All alcohol conditions, ,d z,SMR01,2002/03,Female, ,All,d,385,291.1, ,:,10062, ,7626, , ,:,1.3
13,All alcohol conditions, ,d z,SMR01,2003/04,Male, ,All,d,1101.3,770.6, ,:,25863, ,18036, , ,:,1.4
14,All alcohol conditions, ,d z,SMR01,2003/04,Female, ,All,d,380.1,283.1, ,:,9954, ,7428, , ,:,1.3
15,All alcohol conditions, ,d z,SMR01,2004/05,Male, ,All,d,1189.6,814, ,:,27993, ,19119, , ,:,1.5
16,All alcohol conditions, ,d z,SMR01,2004/05,Female, ,All,d,401.3,297.6, ,:,10542, ,7830, , ,:,1.3
17,All alcohol conditions, ,d z,SMR01,2005/06,Male, ,All,d,1151.3,785.8, ,:,27459, ,18702, , ,:,1.5
18,All alcohol conditions, ,d z,SMR01,2005/06,Female, ,All,d,407.8,300.7, ,:,10821, ,7986, , ,:,1.4
19,All alcohol conditions, ,d z,SMR01,2006/07,Male, ,All,d,1196.5,809.1, ,:,28899, ,19497, , ,:,1.5
20,All alcohol conditions, ,d z,SMR01,2006/07,Female, ,All,d,422.4,306.3, ,:,11277, ,8184, , ,:,1.4
21,All alcohol conditions, ,d z,SMR01,2007/08,Male, ,All,d,1249.3,827.8,422.3, ,30603, ,20274, ,10449, ,1.5
22,All alcohol conditions, ,d z,SMR01,2007/08,Female, ,All,d,461.6,328.4,193, ,12438, ,8862, ,5241, ,1.4
23,All alcohol conditions, ,d z,SMR01,2008/09,Male, ,All,d,1211.3,806.1,404.3, ,29958, ,19890, ,10062, ,1.5
24,All alcohol conditions, ,d z,SMR01,2008/09,Female, ,All,d,445,315,176.3, ,12024, ,8532, ,4800, ,1.4
25,All alcohol conditions, ,d z,SMR01,2009/10,Male, ,All,d,1122.8,748.3,363.5, ,27939, ,18600, ,9084, ,1.5
26,All alcohol conditions, ,d z,SMR01,2009/10,Female, ,All,d,420.2,294.2,156.3, ,11406, ,7998, ,4269, ,1.4
27,All alcohol conditions, ,d z,SMR01,2010/11,Male, ,All,d,1112.8,732.6,356.9, ,27873, ,18360, ,9009, ,1.5
28,All alcohol conditions, ,d z,SMR01,2010/11,Female, ,All,d,406.5,288.3,155.1, ,11097, ,7884, ,4260, ,1.4
29,All alcohol conditions, ,d z,SMR01,2011/12,Male, ,All,d,1091.1,719.8,353.1, ,27603, ,18225, ,8991, ,1.5
30,All alcohol conditions, ,d z,SMR01,2011/12,Female, ,All,d,408.7,284.6,151.2, ,11208, ,7821, ,4167, ,1.4
